series,evidence_class,fraction_1,normalized_F,cloud_point_f,source_note
Rounded General Cubic,project model — preferred general petroleum model,0.48,0.23639,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.49,0.243099,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.5,0.25,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.51,0.257101,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.52,0.26441,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.53,0.271932,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.54,0.279677,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.55,0.28765,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.56,0.295859,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.57,0.304312,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.58,0.313014,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.59,0.321975,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.6,0.3312,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.61,0.340697,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.62,0.350474,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.63,0.360536,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.64,0.370893,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.65,0.38155,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.66,0.392515,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.67,0.403796,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.68,0.415398,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.69,0.427331,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.7,0.4396,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.71,0.452213,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.72,0.465178,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.73,0.4785,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.74,0.492189,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.75,0.50625,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.76,0.520691,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.77,0.53552,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.78,0.550742,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.79,0.566367,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.8,0.5824,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.81,0.598849,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.82,0.615722,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.83,0.633024,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.84,0.650765,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.85,0.66895,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.86,0.687587,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.87,0.706684,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.88,0.726246,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.89,0.746283,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.9,0.7668,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.91,0.787805,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.92,0.809306,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.93,0.831308,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.94,0.853821,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.95,0.87685,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.96,0.900403,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.97,0.924488,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.98,0.94911,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.99,0.974279,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,1.0,1.0,,Rounded form of the direct Minnesota/Iowa measured-point fit
Original Exact Cubic,project model — direct measured-data reference,0.0,0.0,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.01,0.005839,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.02,0.011534,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.03,0.017091,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.04,0.022517,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.05,0.027821,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.06,0.033007,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.07,0.038085,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.08,0.04306,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.09,0.047939,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.1,0.05273,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.11,0.057439,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.12,0.062074,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.13,0.066641,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.14,0.071148,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.15,0.075602,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.16,0.080008,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.17,0.084376,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.18,0.08871,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.19,0.09302,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.2,0.09731,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.21,0.10159,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.22,0.105864,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.23,0.110141,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.24,0.114428,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.25,0.118731,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.26,0.123057,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.27,0.127414,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.28,0.131808,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.29,0.136247,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.3,0.140737,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.31,0.145286,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.32,0.149899,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.33,0.154586,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.34,0.159351,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.35,0.164204,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.36,0.169149,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.37,0.174195,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.38,0.179348,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.39,0.184616,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.4,0.190005,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.41,0.195522,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.42,0.201175,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.43,0.20697,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.44,0.212914,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.45,0.219015,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.46,0.225279,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.47,0.231714,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.48,0.238325,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.49,0.245121,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.5,0.252109,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.51,0.259294,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.52,0.266685,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.53,0.274289,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.54,0.282111,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.55,0.29016,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.56,0.298442,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.57,0.306965,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.58,0.315735,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.59,0.324759,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.6,0.334044,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.61,0.343598,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.62,0.353426,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.63,0.363537,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.64,0.373938,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.65,0.384634,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.66,0.395634,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.67,0.406944,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.68,0.418571,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.69,0.430523,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.7,0.442806,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.71,0.455427,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.72,0.468393,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.73,0.481711,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.74,0.495389,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.75,0.509432,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.76,0.523849,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.77,0.538646,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.78,0.553831,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.79,0.569409,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.8,0.585389,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.81,0.601777,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.82,0.61858,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.83,0.635805,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.84,0.653459,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.85,0.671549,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.86,0.690083,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.87,0.709067,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.88,0.728508,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.89,0.748412,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.9,0.768789,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.91,0.789643,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.92,0.810982,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.93,0.832813,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.94,0.855144,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.95,0.877981,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.96,0.90133,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.97,0.9252,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.98,0.949597,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,0.99,0.974528,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Original Exact Cubic,project model — direct measured-data reference,1.0,1.0,,Endpoint-constrained normalized fit to retained Minnesota/Iowa direct points
Systematic Robust Cubic,project model — evidence-group compromise,0.0,0.0,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.01,0.005773,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.02,0.011418,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.03,0.01694,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.04,0.022348,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.05,0.027646,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.06,0.032842,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.07,0.037943,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.08,0.042954,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.09,0.047882,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.1,0.052734,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.11,0.057517,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.12,0.062237,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.13,0.0669,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.14,0.071513,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.15,0.076083,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.16,0.080616,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.17,0.085119,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.18,0.089598,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.19,0.094059,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
